cod_mun,cod_sec,municipio,provincia,pob,dis_sec,renta20,var1520,salario,pensiones,desempleo,otras_prestaciones,otros_ingresos
15001,,Abegondo,A Coruña,5398,,17150,19,56,28,1,3,10
,1500101001,Abegondo,A Coruña,NA,Distrito 01 Sección 001,17850,13,59,26,1,1,10
,1500101002,Abegondo,A Coruña,NA,Distrito 01 Sección 002,17150,25,56,31,4,3,8
,1500102001,Abegondo,A Coruña,NA,Distrito 02 Sección 001,16450,14,53,33,1,3,7
,1500102002,Abegondo,A Coruña,NA,Distrito 02 Sección 002,16450,20,50,33,1,3,10
,1500103001,Abegondo,A Coruña,NA,Distrito 03 Sección 001,16450,14,57,30,1,3,6
,1500103002,Abegondo,A Coruña,NA,Distrito 03 Sección 002,17150,19,56,22,1,2,16
